LAST SEEN   TYPE      REASON              OBJECT                              MESSAGE
20m         Normal    SuccessfulCreate    replicaset/healthcheck-58d7c5b566   Created pod: healthcheck-58d7c5b566-pfvnh
20m         Normal    Pulling             pod/healthcheck-58d7c5b566-pfvnh    Pulling image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-healthcheck:step8"
20m         Normal    Pulled              pod/healthcheck-58d7c5b566-pfvnh    Successfully pulled image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-healthcheck:step8" in 1.252s (1.252s including waiting). Image size: 13906167 bytes.
17m         Normal    SuccessfulCreate    replicaset/api-86649fcc4f           Created pod: api-86649fcc4f-mflp6
17m         Normal    Pulling             pod/api-86649fcc4f-mflp6            Pulling image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-api:step8"
17m         Normal    Killing             pod/api-86649fcc4f-85n8p            Stopping container api
17m         Normal    Pulled              pod/api-86649fcc4f-mflp6            Successfully pulled image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-api:step8" in 1.349s (1.349s including waiting). Image size: 14312088 bytes.
3m6s        Normal    Pulled              pod/healthcheck-58d7c5b566-pfvnh    Container image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-healthcheck:step8" already present on machine and can be accessed by the pod
3m6s        Normal    Started             pod/healthcheck-58d7c5b566-pfvnh    Container started
3m6s        Normal    Created             pod/healthcheck-58d7c5b566-pfvnh    Container created
23s         Warning   BackOff             pod/healthcheck-58d7c5b566-pfvnh    Back-off restarting failed container healthcheck in pod healthcheck-58d7c5b566-pfvnh_resiliency(26841b2c-48f8-43ea-87a5-ccfbb25b45ec)
19s         Warning   BackOff             pod/api-86649fcc4f-mflp6            Back-off restarting failed container api in pod api-86649fcc4f-mflp6_resiliency(4f90735e-bb80-4159-86b8-23e6dea4a371)
8s          Normal    Pulled              pod/api-86649fcc4f-mflp6            Container image "us-central1-docker.pkg.dev/dataengineering-496300/resiliency-repo/resiliency-api:step8" already present on machine and can be accessed by the pod
8s          Normal    Started             pod/api-86649fcc4f-mflp6            Container started
8s          Normal    Created             pod/api-86649fcc4f-mflp6            Container created
